								| Header Definitions:
Topology Info:  three nodes connected one by one,               | Arr_Time = call-arrival-time
		link-capacity=2Gbps				| carr_TS = corresponding-TS-of-call-arrival-time
------------------------------------------			| is_acc = 1 if call is accepted
System Info:    TimeslotSize=1min, 				| src = source node
		WindowSize=5min=5TS, 				| dest = destination node
		leadTime=1TS					| dur = call duration in TS
------------------------------------------			| rate = call rate in Gbps
Simulation Info:simulationTime=2sec=2TS				| sch-win = scheduling window in TS (start, end)
------------------------------------------			| selectedOp = selected TS index (absolute value)
Call Info:  	just EST, 					| pathLen = the length of selected path
		Call-rate=1Gbps,				| path = the path (node numbers in the path)
		Call_return_Rate=0.5Gbps			|
		Call-Duration-minimum=1min =1TS,		|
		Call-Duration-max=3min=3TS			|
		arrival-rate=5calls/sec				|
--------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------

Arr_Time  arr_TS  is_acc  src  dest  dur  rate  ARopt  selectedOp  pathLen  path
0.0142298 0       1       3    1     2    1     1,3	1           1        3-1
0.224106  0       1       2    1     2    1     1,2	1           1        2-1
1.01213   0       1       2    1     2    1     1,2	1           1        2-1
1.03525   0       1       2    1     3    1     1,2	1           2        2-3-1
1.03679   0       1       2    3     2    1     2,3	2           1        2-3
1.1663    0       0       1    2     3    1     1,2	-1           -1       
2.07998   0       1       2    1     2    1     2,3	3           1        2-1
2.18455   0       1       1    3     2    1     2,3	3           1        1-3
2.50834   0       0       1    3     2    1     1,3	-1           -1       
3.34007   0       0       3    1     2    1     1,2	-1          -1       
3.34909   0       0       1    3     2    1     1,2	-1           -1       
3.5611    0       0       1    3     2    1     1,3	-1           -1       
3.58572   0       0       3    1     3    1     1,2	-1           -1       
3.91317   0       0       2    3     3    1     1,2	-1           -1       
3.92278   0       0       1    3     2    1     1,2	-1           -1       
3.98991   0       0       1    2     3    1     1,2	-1           -1       
4.01304   0       0       2    3     3    1     1,2	-1           -1       
4.15353   0       0       2    1     2    1     1,2	-1           -1       
4.84748   0       0       3    1     2    1     1,3	-1           -1       
6.05898   0       0       2    3     3    1     1,2	-1           -1       
6.26718   0       0       3    1     2    1     1,2	-1           -1       
6.29079   0       0       3    1     3    1     1,2	-1           -1       
6.50638   0       0       3    1     3    1     1,2	-1           -1       
6.51095   0       0       3    2     2    1     1,2	-1           -1       
6.94689   0       0       1    2     2    1     1,2	-1           -1       
6.95981   0       0       1    3     3    1     1,2	-1           -1       
7.43901   0       1       1    2     2    1     1,3	3           1        1-2
