ARrate CBP avgLength FirstARperc SecondARperc ThirdARperc 
50 2.14425 2.36853 71.9124 18.3267 9.76096 
60 3.25342 2.35752 70.7965 18.0531 11.1504 
70 8.84956 2.39159 61.6505 19.5793 18.7702 
80 13.9064 2.33627 62.5551 19.8238 17.6211 
90 21.2351 2.29574 58.1843 20.4952 21.3205 
100 27.8457 2.23338 60.1043 18.1226 21.7731 
110 30.9612 2.27309 62.9183 19.0094 18.0723 
120 34.9356 2.27968 55.277 21.6359 23.0871 
130 42.5641 2.28699 59.3112 19.7704 20.9184 
140 44.7729 2.29634 60.705 19.8433 19.4517 
150 47.42 2.27826 57.0186 22.236 20.7453 
160 49.1763 2.2521 55.7023 22.9292 21.3685 
170 50.7576 2.22367 57.3964 19.8817 22.7219 
180 52.6164 2.28034 54.9757 22.5728 22.4515 
190 54.565 2.20449 58.9835 17.4941 23.5225 
200 57.4641 2.16873 53.6558 24.8594 21.4848 
