ARrate CBP avgLength FirstARperc SecondARperc ThirdARperc 
50 0 2.18324 100 0 0 
60 0 2.18151 100 0 0 
70 0 2.17257 100 0 0 
80 0 2.1871 99.2415 0.758534 0 
90 0 2.20279 99.2489 0.751073 0 
100 0 2.2721 97.716 1.78749 0.496524 
110 0 2.26784 96.1075 3.4291 0.463392 
120 0.0847458 2.22986 94.9109 4.15606 0.932994 
130 0.145666 2.28738 92.2684 6.92925 0.802334 
140 0.334001 2.27815 85.2547 11.5952 3.15013 
150 0.256904 2.32518 83.2582 13.2646 3.47714 
160 0.545124 2.30755 83.7393 12.1803 4.08039 
170 0.644783 2.31032 81.9469 13.5693 4.48378 
180 0.577701 2.33934 80.5346 14.0616 5.40383 
190 1.44385 2.32067 79.1101 14.9213 5.96853 
200 1.6608 2.35875 76.1003 17.349 6.55067 
