ARrate CBP avgLength FirstARperc SecondARperc ThirdARperc 
50 0 2.17934 100 0 0 
60 0 2.17123 100 0 0 
70 0.145773 2.15912 98.9781 0.729927 0.291971 
80 0 2.11849 100 0 0 
90 0.10929 2.14223 97.1554 2.84464 0 
100 0.101729 2.13136 97.6578 1.93483 0.407332 
110 0 2.15224 95.8135 3.99619 0.190295 
120 0 2.12678 94.3745 5.28967 0.335852 
130 0.230592 2.14407 90.832 7.62712 1.54083 
140 0.282486 2.16289 88.8102 8.2153 2.9745 
150 0.331785 2.15979 87.1505 9.58722 3.26232 
160 0.1287 2.11211 86.7912 10.5026 2.70619 
170 0.481928 2.16768 85.1695 10.8959 3.93462 
180 1.04167 2.12798 82.5485 13.0748 4.37673 
190 1.5352 2.1172 80.914 13.8172 5.26882 
200 1.72501 2.13423 79.9174 13.9907 6.09189 
