ARrate CBP avgLength FirstARperc SecondARperc ThirdARperc 
50 0 2.18324 99.6101 0.389864 0 
60 0 2.17808 99.3151 0.684932 0 
70 0 2.17109 99.2625 0.442478 0.294985 
80 0 2.1732 97.2187 2.78129 0 
90 0 2.16738 96.8884 2.897 0.214592 
100 0 2.22939 93.8431 5.56107 0.595829 
110 0 2.22057 93.9759 5.09731 0.926784 
120 0 2.18559 92.2034 6.69492 1.10169 
130 0.0728332 2.25 90.0146 7.65306 2.33236 
140 0 2.22779 83.1663 12.8257 4.00802 
150 0 2.27425 82.4663 13.1021 4.4316 
160 0.121139 2.25652 82.7168 11.7647 5.5185 
170 0.117233 2.24824 81.1033 13.9085 4.98826 
180 0.17331 2.31192 79.456 14.294 6.25 
190 0.320856 2.29828 77.9506 14.9678 7.08155 
200 0.855561 2.30305 74.3147 17.9695 7.71574 
