ARrate CBP avgLength FirstARperc SecondARperc ThirdARperc 
50 0.210084 2.21684 100 0 0 
60 0 2.15491 100 0 0 
70 1.19225 2.16742 100 0 0 
80 1.75659 2.12644 100 0 0 
90 4.49561 2.11481 100 0 0 
100 4.53629 2.11088 100 0 0 
110 7.30388 2.11965 100 0 0 
120 13.92 2.14219 100 0 0 
130 13.6024 2.11419 100 0 0 
140 15.549 2.10471 100 0 0 
150 18.8079 2.07178 100 0 0 
160 21.2992 2.07778 100 0 0 
170 24.8889 2.04216 100 0 0 
180 25.8583 2.0717 100 0 0 
190 27.451 2.03343 100 0 0 
200 28.7864 2.02394 100 0 0 
