ARrate CBP avgLength FirstARperc SecondARperc ThirdARperc 
50 7.14286 2.20588 100 0 0 
60 10.8434 2.11969 100 0 0 
70 16.6915 2.12522 100 0 0 
80 21.079 2.06041 100 0 0 
90 26.9737 2.01952 100 0 0 
100 30.3427 2.02315 100 0 0 
110 34.5356 2.00964 100 0 0 
120 42.32 2.03467 100 0 0 
130 42.1525 1.97933 100 0 0 
140 44.2889 1.99603 100 0 0 
150 48.1457 1.96296 100 0 0 
160 49.9688 1.95006 100 0 0 
170 52.4444 1.91472 100 0 0 
180 54.3743 1.93568 100 0 0 
190 55.4696 1.92584 100 0 0 
200 56.0682 1.90525 100 0 0 
