ARrate CBP avgLength FirstARperc SecondARperc ThirdARperc 
50 1.05042 2.32696 100 0 0 
60 4.99139 2.34239 100 0 0 
70 10.8793 2.34448 100 0 0 
80 18.0678 2.2634 100 0 0 
90 25.2193 2.2478 100 0 0 
100 28.629 2.34181 100 0 0 
110 34.5356 2.30579 100 0 0 
120 43.84 2.35043 100 0 0 
130 43.4978 2.23545 100 0 0 
140 44.9521 2.25301 100 0 0 
150 48.2119 2.23785 100 0 0 
160 50.2811 2.20477 100 0 0 
170 53.7222 2.19328 100 0 0 
180 56.2016 2.22882 100 0 0 
190 57.0691 2.21635 100 0 0 
200 58.2247 2.16327 100 0 0 
