ARrate CBP avgLength FirstARperc SecondARperc ThirdARperc 
50 0 2.17934 91.423 6.82261 1.75439 
60 0.171233 2.16981 89.5369 9.60549 0.857633 
70 0.874636 2.15588 82.0588 13.6765 4.26471 
80 0.911458 2.1117 86.2024 10.3811 3.41656 
90 1.42077 2.13525 78.1596 14.1907 7.64967 
100 3.56053 2.12025 76.2658 16.0338 7.70042 
110 3.90105 2.13465 73.5644 17.9208 8.51485 
120 4.19815 2.10517 67.3094 21.1218 11.5688 
130 8.14758 2.11046 63.7657 21.5063 14.728 
140 10.9463 2.12054 65.1071 20.46 14.433 
150 12.1433 2.10121 61.7069 22.3565 15.9366 
160 12.2265 2.05792 62.9032 20.9677 16.129 
170 16.2651 2.10935 61.3669 19.2086 19.4245 
180 18.8048 2.04659 62.3228 19.7164 17.9608 
190 21.1752 2.04097 59.0329 20.8865 20.0806 
200 22.0193 2.03774 60.1822 21.4053 18.4125 
