ARrate CBP avgLength FirstARperc SecondARperc ThirdARperc 
50 3.89864 2.15822 71.6024 17.8499 10.5477 
60 5.65068 2.15789 70.7804 16.5154 12.7042 
70 10.3245 2.12993 61.6776 22.0395 16.2829 
80 15.2971 2.06119 65.0746 20.1493 14.7761 
90 20.4767 2.06948 60.3542 20.0272 19.6185 
100 26.7168 1.98588 59.8203 20.4108 19.7689 
110 30.4991 2.02793 62.633 20.2128 17.1543 
120 32.9614 1.99744 56.5941 20.4866 22.9193 
130 40 1.99878 59.0965 18.8034 22.1001 
140 41.168 1.98652 60.9069 19.7304 19.3627 
150 45.5258 1.9964 58.3933 22.7818 18.8249 
160 46.7968 1.9289 58.3716 21.5596 20.0688 
170 48.1935 1.91451 58.4927 20.2475 21.2598 
180 50.3163 1.97106 58.1019 20.4861 21.412 
190 52.1482 1.91358 56.9024 21.4366 21.6611 
200 55.6938 1.91901 53.9957 24.622 21.3823 
