ARrate CBP avgLength FirstARperc SecondARperc ThirdARperc 
50 0.974659 2.35039 71.8504 16.9291 11.2205 
60 1.5411 2.3687 70.087 17.2174 12.6957 
70 6.19469 2.41667 61.1635 19.4969 19.3396 
80 11.1252 2.38976 62.3044 17.3542 20.3414 
90 19.61 2.31806 59.1644 18.4636 22.372 
100 26.6228 2.23205 59.4872 20.3846 20.1282 
110 30.5915 2.30493 63.3822 18.3755 18.2423 
120 32.9614 2.27401 56.5941 19.7183 23.6876 
130 40.293 2.26135 58.6503 19.0184 22.3313 
140 41.6006 2.24321 59.2593 19.7531 20.9877 
150 45.1992 2.25745 56.615 22.7652 20.6198 
160 46.4918 2.24629 57.4686 22.0068 20.5245 
170 48.8928 2.20867 55.9863 22.691 21.3227 
180 50.3738 2.20973 55.9676 22.5956 21.4368 
190 52.2019 2.17528 58.2022 18.5393 23.2584 
200 56.3636 2.15022 54.2763 24.3421 21.3816 
