ARrate CBP avgLength FirstARperc SecondARperc ThirdARperc 
50 0 2.17934 100 0 0 
60 0 2.17123 100 0 0 
70 0 2.17201 98.9796 0.728863 0.291545 
80 0 2.11849 100 0 0 
90 0 2.17158 97.377 2.62295 0 
100 0 2.15361 98.0671 1.52594 0.406918 
110 0 2.18459 96.765 3.13987 0.0951475 
120 0 2.16457 94.9622 4.86986 0.167926 
130 0 2.21291 91.3912 7.37894 1.22982 
140 0 2.25706 90.0424 7.34463 2.61299 
150 0 2.26012 87.923 9.55541 2.52157 
160 0 2.19949 88.0952 9.45946 2.4453 
170 0 2.29036 85.241 11.3253 3.43373 
180 0 2.24671 83.7171 11.9518 4.33114 
190 0.26469 2.23673 80.5202 13.9597 5.52017 
200 0.202943 2.28012 79.7153 14.0824 6.20234 
