Arr_Time  arr_TS  is_acc  is_USST src  dest  dur  rate  ARopt  selectedOp  pathLen  path
0.761301 0 1 1 2 1 1 1 7 0 1 2-1
1.64798 1 1 1 3 1 1 1 10 0 1 3-1
1.84558 1 1 1 2 1 1 1 6 0 1 2-1
4.97663 4 1 1 3 1 1 1 11 0 1 3-1
5.73145 5 1 1 2 3 1 1 8 0 1 2-3
6.89848 6 1 1 1 2 1 1 9 0 1 1-2
7.43028 7 1 1 3 1 1 1 9 0 1 3-1
7.59692 7 1 1 3 1 1 1 14 0 1 3-1
9.69183 9 1 1 1 3 1 1 17 0 1 1-3
9.97451 9 1 1 1 3 1 1 11 0 1 1-3
11.6666 11 1 1 3 2 1 1 17 0 1 3-2
12.327 12 1 1 1 2 1 1 13 0 1 1-2
12.8178 12 1 1 2 1 1 1 20 0 1 2-1
13.889 13 1 1 1 2 1 1 22 0 1 1-2
14.6461 14 1 1 3 1 1 1 16 0 1 3-1
15.1718 15 1 1 3 2 1 1 24 0 1 3-2
16.3602 16 1 1 3 2 1 1 20 0 1 3-2
16.6234 16 1 1 1 2 1 1 23 0 1 1-2
17.3701 17 1 1 3 1 1 1 20 0 1 3-1
17.8741 17 1 1 1 2 1 1 23 0 1 1-2
18.211 18 1 1 1 2 1 1 25 0 1 1-2
19.12 19 1 1 1 2 1 1 20 0 1 1-2
19.3996 19 1 1 2 1 1 1 22 0 1 2-1
20.0132 20 1 1 1 2 1 1 27 0 1 1-2
20.5238 20 1 1 1 2 1 1 25 0 1 1-2
21.6566 21 1 1 3 2 1 1 27 0 1 3-2
23.8416 23 1 1 3 2 1 1 31 0 1 3-2
24.4271 24 1 1 1 2 1 1 29 0 1 1-2
24.8802 24 1 1 2 1 1 1 26 0 1 2-1
27.0321 27 1 1 1 2 1 1 34 0 1 1-2
28.527 28 1 1 2 3 1 1 36 0 1 2-3
29.6443 29 1 1 3 2 1 1 37 0 1 3-2
29.8539 29 1 1 3 2 1 1 34 0 1 3-2
30.2234 30 1 1 3 1 1 1 32 0 1 3-1
30.6651 30 1 1 3 2 1 1 34 0 1 3-2
31.7726 31 1 1 1 2 1 1 39 0 1 1-2
35.3916 35 1 1 2 3 1 1 38 0 1 2-3
36.1676 36 1 1 1 2 1 1 44 0 1 1-2
37.1443 37 1 1 2 1 1 1 43 0 1 2-1
39.4154 39 1 1 2 1 1 1 40 0 1 2-1
39.9 39 1 1 2 1 1 1 43 0 1 2-1
40.3775 40 1 1 1 2 1 1 44 0 1 1-2
45.6687 45 1 1 1 2 1 1 50 0 1 1-2
46.6041 46 1 1 3 1 1 1 48 0 1 3-1
47.0398 47 1 1 3 1 1 1 51 0 1 3-1
47.7547 47 1 1 3 1 1 1 48 0 1 3-1
48.2256 48 1 1 2 3 1 1 57 0 1 2-3
49.1026 49 1 1 2 1 1 1 54 0 1 2-1
50.3892 50 1 1 3 2 1 1 57 0 1 3-2
51.7252 51 1 1 2 3 1 1 52 0 1 2-3
52.9625 52 1 1 3 1 1 1 60 0 1 3-1
53.0438 53 1 1 1 3 1 1 57 0 1 1-3
53.0604 53 1 1 2 3 1 1 62 0 1 2-3
53.3078 53 1 1 1 3 1 1 62 0 1 1-3
53.3494 53 1 1 1 3 1 1 58 0 1 1-3
53.623 53 1 1 3 1 1 1 58 0 1 3-1
53.9486 53 1 1 1 3 1 1 54 0 1 1-3
55.8757 55 1 1 2 1 1 1 64 0 1 2-1
56.5859 56 1 1 3 1 1 1 61 0 1 3-1
56.7082 56 1 1 3 2 1 1 60 0 1 3-2
57.7975 57 1 1 1 3 1 1 64 0 1 1-3
58.3449 58 1 1 1 2 1 1 61 0 1 1-2
59.1926 59 1 1 3 2 1 1 65 0 1 3-2
59.3259 59 1 1 2 3 1 1 68 0 1 2-3
60.0188 60 1 1 1 2 1 1 64 0 1 1-2
60.1217 60 1 1 3 1 1 1 61 0 1 3-1
60.1546 60 1 1 2 3 1 1 63 0 1 2-3
61.4658 61 1 1 2 1 1 1 63 0 1 2-1
62.3594 62 1 1 2 1 1 1 65 0 1 2-1
63.333 63 1 1 1 3 1 1 66 0 1 1-3
63.5868 63 1 1 3 2 1 1 71 0 1 3-2
64.2539 64 1 1 1 2 1 1 69 0 1 1-2
64.7699 64 1 1 2 1 1 1 68 0 1 2-1
64.923 64 1 1 1 3 1 1 67 0 1 1-3
