Arr_rate number Arr_Time  arr_TS  is_acc  is_USST src  dest  dur  rate  ARopt  selectedOp  pathLen  path
0.000277778 36000 2394.28 39 1 2 3 6 18 10 164,913 125 1 3-6
0.000277778 36000 2582.66 43 1 1 13 3 60 1 124,195,590 0 5 13-12-14-8-7-3
0.000277778 36000 3572.6 59 1 2 10 5 6 10 558,1297 499 2 10-4-5
0.000277778 36000 7351.1 122 1 1 17 9 60 1 314,818,1373 0 4 17-14-8-7-9
0.000277778 36000 13957.9 232 1 2 3 2 18 10 726,1029 494 2 3-7-2
0.000277778 36000 18742.3 312 1 1 15 14 60 1 442,620,1039 0 2 15-12-14
0.000277778 36000 26035.7 433 1 2 12 7 14 10 1555,1674 1122 3 12-14-8-7
0.000277778 36000 26353.7 439 1 1 2 4 60 1 1264,1519,1664 0 1 2-4
0.000277778 36000 27553.4 459 1 2 18 19 10 10 955,1532 496 1 18-19
0.000277778 36000 35118.8 585 1 1 4 15 60 1 656,797,1958 0 6 4-10-11-8-14-12-15
0.000277778 36000 42339.3 705 1 1 18 3 60 1 1023,1542,1592 0 4 18-11-8-7-3
0.000277778 360000 2394.28 39 1 2 3 6 18 10 164,913 125 1 3-6
0.000277778 360000 2582.66 43 1 1 13 3 60 1 124,195,590 0 5 13-12-14-8-7-3
0.000277778 360000 3572.6 59 1 2 10 5 6 10 558,1297 499 2 10-4-5
0.000277778 360000 7351.1 122 1 1 17 9 60 1 314,818,1373 0 4 17-14-8-7-9
0.000277778 360000 13957.9 232 1 2 3 2 18 10 726,1029 494 2 3-7-2
0.000277778 360000 18742.3 312 1 1 15 14 60 1 442,620,1039 0 2 15-12-14
0.000277778 360000 26035.7 433 1 2 12 7 14 10 1555,1674 1122 3 12-14-8-7
0.000277778 360000 26353.7 439 1 1 2 4 60 1 1264,1519,1664 0 1 2-4
0.000277778 360000 27553.4 459 1 2 18 19 10 10 955,1532 496 1 18-19
0.000277778 360000 35118.8 585 1 1 4 15 60 1 656,797,1958 0 6 4-10-11-8-14-12-15
0.000277778 360000 42339.3 705 1 1 18 3 60 1 1023,1542,1592 0 4 18-11-8-7-3
0.000277778 360000 42695.6 711 1 2 16 17 23 10 1429,1729 718 1 16-17
0.000277778 360000 48509.5 808 1 2 9 14 7 10 2093,2182 1285 3 9-7-8-14
0.000277778 360000 48997.1 816 1 2 1 8 59 10 2038,2125 1222 5 1-3-4-10-11-8
0.000277778 360000 53180.2 886 1 1 14 19 60 1 1344,1697,2049 0 2 14-17-19
0.000277778 360000 58028.9 967 1 1 7 17 60 1 1385,1521,2180 0 3 7-8-14-17
0.000277778 360000 60610.5 1010 1 2 18 2 5 10 1875,2357 865 4 18-11-8-7-2
0.000277778 360000 61892.5 1031 1 2 4 9 2 10 1606,1779 575 2 4-10-9
0.000277778 360000 71106.5 1185 1 1 13 19 60 1 1583,1915,2405 0 4 13-15-16-17-19
0.000277778 360000 75444.8 1257 1 2 12 10 24 10 1527,1891 270 4 12-14-8-11-10
