Arrival_rate Cnumber CBP maxlinkU numCall numOfUSST numOfEST USSTblocked ESTblocked FirstUSST secUSST thirdUSST waitEST avgLeUSST avgLeEST simulationTime
0.000277778 10 0 2.55319 11 6 5 0 0 6 0 0 0 3.66667 1.8 36000
0.000277778 100 0 4.70104 94 45 49 0 0 43 2 0 1.59184 3.26667 2.61224 360000
0.000277778 1000 0 5.05007 1011 487 524 0 1 445 33 9 3.36329 3.20945 3.42447 3.6e+06
0.000555556 10 0 2.94671 14 6 8 0 0 6 0 0 0 3.66667 2.625 18000
0.000555556 100 0 8.26331 110 62 48 0 0 56 4 2 7.39583 3.41935 2.79167 180000
0.000555556 1000 0.582524 10.5556 1001 515 486 3 3 433 64 15 6.6087 3.44922 3.39752 1.8e+06
0.000833333 10 0 7.17489 8 2 6 0 0 2 0 0 0 2 3.16667 12000
0.000833333 100 0 7.78055 109 47 62 0 0 40 6 1 3.48387 3.65957 3.46774 120000
0.000833333 1000 1.91939 14.8259 1061 521 540 10 7 389 95 27 12.1707 3.18591 3.47092 1.2e+06
0.00111111 10 0 2.51572 8 3 5 0 0 3 0 0 0 4.66667 2.4 9000
0.00111111 100 0 17.7135 101 48 53 0 0 41 5 2 9.9434 3.41667 3.39623 90000
0.00111111 1000 1.20482 21.751 1065 498 567 6 15 340 100 52 30.4457 3.30894 3.68116 900000
0.00138889 10 0 0.56 10 7 3 0 0 7 0 0 0 3 3.33333 7200
0.00138889 100 0 13.075 81 46 35 0 0 40 6 0 5.28571 3.17391 3.2 72000
0.00138889 1000 1.97239 22.3785 999 507 492 10 17 333 115 49 36.8526 3.23742 3.56842 720000
0.00166667 10 0 0 11 6 5 0 0 6 0 0 0 3.5 2.2 6000
0.00166667 100 0 19.4153 110 58 52 0 0 43 10 5 7.11538 3.67241 3.30769 60000
0.00166667 1000 1.27389 27.0418 972 471 501 6 22 287 118 60 33.4635 3.46452 3.51775 600000
0.00194444 10 0 0 12 4 8 0 0 3 1 0 8.75 4 2.875 5142.86
0.00194444 100 2 17.686 102 50 52 1 0 37 9 3 12.4423 3.28571 3.46154 51428.6
0.00194444 1000 4.6371 28.8698 966 496 470 23 27 295 125 53 50.4605 3.28118 3.62528 514286
0.00222222 10 0 0 12 5 7 0 0 5 0 0 0 3.2 2.71429 4500
0.00222222 100 2 14.8602 107 50 57 1 2 31 13 5 21.7091 3.40816 3.52727 45000
0.00222222 1000 3.51967 28.0005 948 483 465 17 25 286 114 66 43.5477 3.30687 3.69773 450000
0.0025 10 0 8.35821 11 7 4 0 0 7 0 0 6.75 2.42857 4 4000
0.0025 100 1.81818 19.4179 110 55 55 1 0 40 8 6 21.0727 3.40741 3.69091 40000
