Is_Success AS_Num src dest ARoption selectedOptionIndex pathLength Arrival_Rate
1 1 5 12 6099 0 3 50 5-6-13-12-
1 1 11 10 1376 0 1 50 11-10-
1 1 6 5 7679 0 1 50 6-5-
1 1 11 10 6604 0 1 50 11-10-
1 1 1 3 2453 0 1 50 1-3-
1 1 13 2 3093 0 3 50 13-6-4-2-
1 1 1 9 32 0 3 50 1-2-8-9-
1 1 2 14 4805 0 3 50 2-8-9-14-
1 1 12 6 1022 0 2 50 12-13-6-
1 1 7 13 2858 0 3 50 7-5-6-13-
1 1 13 3 1297 0 3 50 13-12-11-3-
1 1 5 1 32 0 2 50 5-3-1-
1 1 14 12 1642 0 2 50 14-9-12-
1 1 13 10 3627 0 1 50 13-10-
1 1 4 7 368 0 3 50 4-2-8-7-
1 1 5 11 6420 0 2 50 5-3-11-
1 1 11 6 3834 0 3 50 11-12-13-6-
1 1 8 13 6582 0 3 50 8-9-12-13-
1 1 5 10 771 0 3 50 5-6-13-10-
1 1 5 12 1149 0 3 50 5-6-13-12-
1 1 1 14 8094 0 3 50 1-4-6-14-
1 1 8 6 1219 0 3 50 8-9-14-6-
1 1 9 6 651 0 2 50 9-14-6-
1 1 8 6 5952 0 3 50 8-9-14-6-
1 1 4 8 256 0 2 50 4-2-8-
1 1 4 6 7853 0 1 50 4-6-
1 1 11 8 5070 0 3 50 11-12-9-8-
1 1 9 12 8273 0 1 50 9-12-
1 1 4 1 6549 0 1 50 4-1-
0 1 11 10 8467 -1 -1 50 4-1-
1 1 10 2 54 0 3 50 10-9-8-2-
1 1 7 3 932 0 2 50 7-5-3-
1 1 9 1 6188 0 3 50 9-8-2-1-
1 1 8 2 7486 0 1 50 8-2-
1 1 11 1 4803 0 2 50 11-3-1-
1 1 4 7 4901 0 3 50 4-2-8-7-
1 1 12 8 7521 0 2 50 12-9-8-
1 1 13 10 3356 0 1 50 13-10-
1 1 12 10 6696 0 2 50 12-13-10-
1 1 6 14 7401 0 1 50 6-14-
1 1 7 13 7616 0 3 50 7-5-6-13-
1 1 1 12 3762 0 3 50 1-3-11-12-
0 1 5 10 8454 -1 -1 50 1-3-11-12-
1 1 1 5 5903 0 2 50 1-3-5-
1 1 14 7 1533 0 3 50 14-9-8-7-
1 1 12 2 57 0 3 50 12-9-8-2-
1 1 13 5 3009 0 2 50 13-6-5-
1 1 8 9 1060 0 1 50 8-9-
1 1 3 8 3894 0 3 50 3-5-7-8-
1 1 13 1 6018 0 3 50 13-6-4-1-
1 1 2 6 1744 0 2 50 2-4-6-
1 1 9 5 3599 0 3 50 9-8-7-5-
1 1 12 9 759 0 1 50 12-9-
1 1 1 13 4028 0 3 50 1-4-6-13-
1 1 1 9 622 0 3 50 1-2-8-9-
1 1 11 4 6037 0 3 50 11-3-1-4-
1 1 9 12 6927 0 1 50 9-12-
1 1 12 13 3688 0 1 50 12-13-
1 1 14 5 6579 0 2 50 14-6-5-
1 1 5 3 3735 0 1 50 5-3-
1 1 5 13 7299 0 2 50 5-6-13-
1 1 12 4 6483 0 3 50 12-13-6-4-
1 1 5 8 6952 0 2 50 5-7-8-
1 1 13 2 4034 0 3 50 13-6-4-2-
1 1 12 3 796 0 2 50 12-11-3-
1 1 14 5 45 0 2 50 14-6-5-
1 1 4 12 2216 0 3 50 4-6-13-12-
1 1 2 10 1975 0 3 50 2-8-9-10-
1 1 11 2 4514 0 3 50 11-3-1-2-
1 1 11 2 7369 0 3 50 11-3-1-2-
1 1 11 9 5610 0 2 50 11-12-9-
0 1 5 10 8471 -1 -1 50 11-12-9-
0 1 3 12 8446 -1 -1 50 11-12-9-
1 1 12 9 2660 0 1 50 12-9-
1 1 9 6 905 0 2 50 9-14-6-
1 1 1 3 6012 0 1 50 1-3-
1 1 11 14 5702 0 3 50 11-12-9-14-
1 1 7 2 5221 0 2 50 7-8-2-
1 1 12 11 4432 0 1 50 12-11-
1 1 5 12 253 0 3 50 5-6-13-12-
1 1 10 8 3354 0 2 50 10-9-8-
1 1 11 13 5079 0 2 50 11-12-13-
1 1 2 10 2916 0 3 50 2-8-9-10-
0 1 12 2 8289 -1 -1 50 2-8-9-10-
1 1 13 11 5564 0 2 50 13-12-11-
1 1 14 11 494 0 3 50 14-9-12-11-
1 1 9 10 1187 0 1 50 9-10-
1 1 8 9 1545 0 1 50 8-9-
1 1 7 3 5679 0 2 50 7-5-3-
1 1 3 7 1683 0 2 50 3-5-7-
1 1 3 6 392 0 2 50 3-5-6-
1 1 4 10 4960 0 3 50 4-6-13-10-
1 1 6 11 279 0 3 50 6-13-12-11-
1 1 10 12 1006 0 2 50 10-13-12-
1 1 10 5 6143 0 3 50 10-13-6-5-
1 1 8 1 826 0 2 50 8-2-1-
1 1 5 11 8110 0 2 50 5-3-11-
1 1 10 4 1807 0 3 50 10-13-6-4-
1 1 13 9 1649 0 2 50 13-12-9-
1 1 6 3 811 0 2 50 6-5-3-
1 1 5 13 4584 0 2 50 5-6-13-
1 1 2 9 925 0 2 50 2-8-9-
1 1 4 9 49 0 3 50 4-6-14-9-
1 1 13 11 5175 0 2 50 13-12-11-
1 1 13 14 3366 0 2 50 13-6-14-
1 1 3 11 6278 0 1 50 3-11-
1 1 10 7 4938 0 3 50 10-9-8-7-
1 1 14 9 7108 0 1 50 14-9-
1 1 14 8 4610 0 2 50 14-9-8-
1 1 5 8 6182 0 2 50 5-7-8-
1 1 8 7 5722 0 1 50 8-7-
1 1 3 7 5353 0 2 50 3-5-7-
1 1 13 1 4021 0 3 50 13-6-4-1-
1 1 11 6 3199 0 3 50 11-12-13-6-
1 1 12 9 648 0 1 50 12-9-
1 1 6 14 2827 0 1 50 6-14-
1 1 10 14 1468 0 2 50 10-9-14-
1 1 14 7 4242 0 3 50 14-9-8-7-
1 1 7 13 4862 0 3 50 7-5-6-13-
1 1 6 11 4665 0 3 50 6-13-12-11-
1 1 6 5 1821 0 1 50 6-5-
1 1 5 3 4781 0 1 50 5-3-
1 1 9 3 6806 0 3 50 9-12-11-3-
1 1 4 3 8117 0 2 50 4-1-3-
1 1 14 1 3162 0 3 50 14-6-4-1-
1 1 10 5 3115 0 3 50 10-13-6-5-
1 1 14 12 3917 0 2 50 14-9-12-
1 1 4 12 6446 0 3 50 4-6-13-12-
1 1 11 13 2823 0 2 50 11-12-13-
1 1 7 4 81 0 3 50 7-5-6-4-
1 1 5 11 5770 0 2 50 5-3-11-
1 1 8 3 6736 0 3 50 8-7-5-3-
1 1 13 14 384 0 2 50 13-6-14-
1 1 10 9 8187 0 1 50 10-9-
1 1 7 6 4016 0 2 50 7-5-6-
1 1 8 13 7707 0 3 50 8-9-12-13-
1 1 13 11 3838 0 2 50 13-12-11-
1 1 4 8 5406 0 2 50 4-2-8-
1 1 8 13 8095 0 3 50 8-9-12-13-
1 1 4 12 4513 0 3 50 4-6-13-12-
1 1 6 11 3190 0 3 50 6-13-12-11-
1 1 5 1 515 0 2 50 5-3-1-
1 1 8 9 4776 0 1 50 8-9-
1 1 7 14 6005 0 3 50 7-8-9-14-
1 1 4 9 5200 0 3 50 4-6-14-9-
1 1 10 8 3217 0 2 50 10-9-8-
1 1 2 8 7231 0 1 50 2-8-
1 1 11 7 3982 0 3 50 11-3-5-7-
1 1 8 6 4981 0 3 50 8-9-14-6-
0 1 6 11 8283 -1 -1 50 8-9-14-6-
1 1 11 13 2830 0 2 50 11-12-13-
1 1 4 13 5920 0 2 50 4-6-13-
1 1 8 13 4905 0 3 50 8-9-12-13-
1 1 11 10 7729 0 1 50 11-10-
1 1 7 1 1621 0 3 50 7-5-3-1-
1 1 6 8 6521 0 3 50 6-14-9-8-
1 1 7 14 6023 0 3 50 7-8-9-14-
1 1 5 9 1809 0 3 50 5-6-14-9-
1 1 7 8 420 0 1 50 7-8-
1 1 2 11 6249 0 3 50 2-1-3-11-
1 1 7 14 6565 0 3 50 7-8-9-14-
1 1 12 2 1383 0 3 50 12-9-8-2-
1 1 9 11 5542 0 2 50 9-12-11-
1 1 8 11 5105 0 3 50 8-9-12-11-
1 1 3 9 3480 0 3 50 3-11-12-9-
1 1 14 9 3608 0 1 50 14-9-
1 1 2 10 2406 0 3 50 2-8-9-10-
1 1 5 2 4126 0 3 50 5-7-8-2-
1 1 3 7 5850 0 2 50 3-5-7-
1 1 1 10 7535 0 3 50 1-3-11-10-
1 1 8 12 300 0 2 50 8-9-12-
0 1 14 1 8535 -1 -1 50 8-9-12-
0 1 1 7 8337 -1 -1 50 8-9-12-
1 1 5 7 2004 0 1 50 5-7-
1 1 2 12 7910 0 3 50 2-8-9-12-
1 1 7 6 5153 0 2 50 7-5-6-
1 1 2 11 5821 0 3 50 2-1-3-11-
1 1 1 9 7438 0 3 50 1-2-8-9-
1 1 14 2 784 0 3 50 14-9-8-2-
1 1 5 11 5519 0 2 50 5-3-11-
1 1 5 13 1078 0 2 50 5-6-13-
1 1 5 4 5917 0 2 50 5-6-4-
1 1 1 12 5890 0 3 50 1-3-11-12-
1 1 7 10 5357 0 3 50 7-8-9-10-
1 1 8 12 5444 0 2 50 8-9-12-
1 1 3 10 587 0 2 50 3-11-10-
1 1 2 13 6055 0 3 50 2-4-6-13-
1 1 4 6 1655 0 1 50 4-6-
1 1 5 9 2635 0 3 50 5-6-14-9-
0 1 12 5 8443 -1 -1 50 5-6-14-9-
1 1 8 13 2921 0 3 50 8-9-12-13-
1 1 13 7 5724 0 3 50 13-6-5-7-
1 1 9 4 2104 0 3 50 9-14-6-4-
1 1 12 3 3079 0 2 50 12-11-3-
1 1 2 1 2335 0 1 50 2-1-
1 1 5 10 3311 0 3 50 5-6-13-10-
1 1 11 2 4104 0 3 50 11-3-1-2-
1 1 13 9 7 0 2 50 13-12-9-
1 1 6 7 2664 0 2 50 6-5-7-
1 1 7 5 3044 0 1 50 7-5-
1 1 5 11 3785 0 2 50 5-3-11-
1 1 8 3 6197 0 3 50 8-7-5-3-
1 1 7 3 5477 0 2 50 7-5-3-
1 1 11 1 3525 0 2 50 11-3-1-
1 1 14 7 5957 0 3 50 14-9-8-7-
1 1 1 13 1629 0 3 50 1-4-6-13-
1 1 4 7 3453 0 3 50 4-2-8-7-
1 1 2 13 1704 0 3 50 2-4-6-13-
1 1 1 7 1763 0 3 50 1-2-8-7-
1 1 8 2 1569 0 1 50 8-2-
1 1 3 1 3725 0 1 50 3-1-
1 1 3 10 85 0 2 50 3-11-10-
1 1 10 8 6919 0 2 50 10-9-8-
1 1 13 9 2745 0 2 50 13-12-9-
1 1 11 5 5335 0 2 50 11-3-5-
1 1 2 13 2933 0 3 50 2-4-6-13-
1 1 2 12 4672 0 3 50 2-8-9-12-
1 1 14 4 420 0 2 50 14-6-4-
1 1 14 10 206 0 2 50 14-9-10-
1 1 8 10 8263 0 2 50 8-9-10-
1 1 1 2 6645 0 1 50 1-2-
1 1 4 5 6382 0 2 50 4-6-5-
1 1 12 5 147 0 3 50 12-13-6-5-
1 1 7 13 8097 0 3 50 7-5-6-13-
1 1 11 9 2092 0 2 50 11-12-9-
1 1 6 12 8025 0 2 50 6-13-12-
1 1 4 9 1062 0 3 50 4-6-14-9-
1 1 12 14 256 0 2 50 12-9-14-
1 1 1 13 1983 0 3 50 1-4-6-13-
1 1 14 5 2031 0 2 50 14-6-5-
1 1 5 10 792 0 3 50 5-6-13-10-
1 1 14 9 7763 0 1 50 14-9-
1 1 6 5 3040 0 1 50 6-5-
1 1 5 1 2423 0 2 50 5-3-1-
1 1 5 12 3175 0 3 50 5-6-13-12-
1 1 11 7 5666 0 3 50 11-3-5-7-
1 1 3 13 3304 0 3 50 3-11-12-13-
1 1 13 7 4689 0 3 50 13-6-5-7-
1 1 12 9 5885 0 1 50 12-9-
1 1 7 6 3858 0 2 50 7-5-6-
1 1 14 13 2973 0 2 50 14-6-13-
1 1 14 6 3274 0 1 50 14-6-
1 1 2 13 1605 0 3 50 2-4-6-13-
1 1 12 5 2427 0 3 50 12-13-6-5-
1 1 13 14 7177 0 2 50 13-6-14-
1 1 9 4 251 0 3 50 9-14-6-4-
1 1 7 8 1328 0 1 50 7-8-
1 1 14 13 1441 0 2 50 14-6-13-
1 1 11 1 6897 0 2 50 11-3-1-
1 1 2 10 242 0 3 50 2-8-9-10-
1 1 5 4 7232 0 2 50 5-6-4-
1 1 5 13 6505 0 2 50 5-6-13-
1 1 1 13 7863 0 3 50 1-4-6-13-
1 1 10 11 3736 0 1 50 10-11-
1 1 11 5 3431 0 2 50 11-3-5-
1 1 14 7 2633 0 3 50 14-9-8-7-
1 1 10 5 4209 0 3 50 10-13-6-5-
1 1 1 13 2070 0 3 50 1-4-6-13-
1 1 2 3 3098 0 2 50 2-1-3-
1 1 7 2 5361 0 2 50 7-8-2-
1 1 2 3 5287 0 2 50 2-1-3-
1 1 9 6 95 0 2 50 9-14-6-
1 1 1 11 6149 0 2 50 1-3-11-
1 1 11 6 691 0 3 50 11-12-13-6-
1 1 2 6 4700 0 2 50 2-4-6-
1 1 14 2 5289 0 3 50 14-9-8-2-
1 1 5 2 6349 0 3 50 5-7-8-2-
1 1 10 7 813 0 3 50 10-9-8-7-
1 1 13 10 4248 0 1 50 13-10-
1 1 10 8 8173 0 2 50 10-9-8-
1 1 11 1 3460 0 2 50 11-3-1-
1 1 3 5 3617 0 1 50 3-5-
1 1 5 6 4789 0 1 50 5-6-
1 1 1 4 4011 0 1 50 1-4-
1 1 11 6 4319 0 3 50 11-12-13-6-
1 1 3 7 1445 0 2 50 3-5-7-
1 1 10 14 591 0 2 50 10-9-14-
1 1 14 6 1182 0 1 50 14-6-
1 1 12 1 4089 0 3 50 12-11-3-1-
1 1 13 1 353 0 3 50 13-6-4-1-
1 1 2 6 1310 0 2 50 2-4-6-
1 1 11 14 7044 0 3 50 11-12-9-14-
1 1 9 10 6303 0 1 50 9-10-
1 1 11 7 2785 0 3 50 11-3-5-7-
1 1 7 2 427 0 2 50 7-8-2-
1 1 12 11 2861 0 1 50 12-11-
1 1 11 3 5922 0 1 50 11-3-
1 1 9 7 5444 0 2 50 9-8-7-
1 1 14 8 4758 0 2 50 14-9-8-
1 1 13 14 7438 0 2 50 13-6-14-
1 1 1 14 5926 0 3 50 1-4-6-14-
1 1 11 7 4655 0 3 50 11-3-5-7-
1 1 4 1 6324 0 1 50 4-1-
1 1 10 6 4564 0 2 50 10-13-6-
1 1 12 7 1820 0 3 50 12-9-8-7-
1 1 12 5 4195 0 3 50 12-13-6-5-
1 1 1 3 7809 0 1 50 1-3-
1 1 11 14 7734 0 3 50 11-12-9-14-
1 1 9 11 3613 0 2 50 9-12-11-
1 1 1 3 5429 0 1 50 1-3-
1 1 7 8 3127 0 1 50 7-8-
0 1 9 11 8350 -1 -1 50 7-8-
1 1 13 11 1158 0 2 50 13-12-11-
1 1 14 5 1799 0 2 50 14-6-5-
1 1 1 2 3539 0 1 50 1-2-
1 1 6 5 7172 0 1 50 6-5-
1 1 12 4 7399 0 3 50 12-13-6-4-
1 1 2 14 618 0 3 50 2-8-9-14-
0 1 6 12 8473 -1 -1 50 2-8-9-14-
1 1 13 9 3932 0 2 50 13-12-9-
1 1 7 13 5673 0 3 50 7-5-6-13-
1 1 12 4 2900 0 3 50 12-13-6-4-
1 1 4 3 7456 0 2 50 4-1-3-
1 1 2 12 3957 0 3 50 2-8-9-12-
1 1 11 9 7473 0 2 50 11-12-9-
1 1 8 14 26 0 2 50 8-9-14-
1 1 1 3 1215 0 1 50 1-3-
1 1 5 1 2628 0 2 50 5-3-1-
1 1 8 14 4368 0 2 50 8-9-14-
1 1 13 4 3534 0 2 50 13-6-4-
1 1 4 9 5100 0 3 50 4-6-14-9-
1 1 9 12 6637 0 1 50 9-12-
1 1 14 2 2436 0 3 50 14-9-8-2-
1 1 11 13 6218 0 2 50 11-12-13-
1 1 11 2 3410 0 3 50 11-3-1-2-
1 1 12 9 6315 0 1 50 12-9-
1 1 5 14 6227 0 2 50 5-6-14-
1 1 4 13 685 0 2 50 4-6-13-
1 1 5 4 2951 0 2 50 5-6-4-
1 1 7 8 6313 0 1 50 7-8-
1 1 13 12 280 0 1 50 13-12-
1 1 2 13 1808 0 3 50 2-4-6-13-
1 1 8 2 1259 0 1 50 8-2-
1 1 10 13 4579 0 1 50 10-13-
1 1 14 3 5388 0 3 50 14-6-5-3-
1 1 10 5 637 0 3 50 10-13-6-5-
1 1 2 14 3423 0 3 50 2-8-9-14-
1 1 6 7 7705 0 2 50 6-5-7-
1 1 13 2 6103 0 3 50 13-6-4-2-
1 1 3 11 925 0 1 50 3-11-
1 1 13 4 4382 0 2 50 13-6-4-
1 1 7 8 6883 0 1 50 7-8-
1 1 1 5 2821 0 2 50 1-3-5-
0 1 12 8 8290 -1 -1 50 1-3-5-
1 1 3 8 28 0 3 50 3-5-7-8-
1 1 2 14 941 0 3 50 2-8-9-14-
1 1 8 4 1975 0 2 50 8-2-4-
1 1 8 2 7710 0 1 50 8-2-
1 1 12 10 6354 0 2 50 12-13-10-
1 1 14 10 3700 0 2 50 14-9-10-
1 1 8 13 4123 0 3 50 8-9-12-13-
1 1 7 11 6460 0 3 50 7-5-3-11-
1 1 5 9 4422 0 3 50 5-6-14-9-
1 1 9 12 5046 0 1 50 9-12-
1 1 2 9 5581 0 2 50 2-8-9-
1 1 7 9 736 0 2 50 7-8-9-
1 1 7 1 1809 0 3 50 7-5-3-1-
1 1 8 6 5350 0 3 50 8-9-14-6-
1 1 11 7 4187 0 3 50 11-3-5-7-
1 1 14 4 7176 0 2 50 14-6-4-
1 1 8 9 1184 0 1 50 8-9-
1 1 7 4 4506 0 3 50 7-5-6-4-
1 1 11 8 1214 0 3 50 11-12-9-8-
1 1 3 13 6733 0 3 50 3-11-12-13-
1 1 4 3 5097 0 2 50 4-1-3-
1 1 3 13 4555 0 3 50 3-11-12-13-
1 1 7 14 2626 0 3 50 7-8-9-14-
1 1 14 8 6497 0 2 50 14-9-8-
1 1 3 1 7671 0 1 50 3-1-
1 1 10 13 3574 0 1 50 10-13-
1 1 12 5 6539 0 3 50 12-13-6-5-
1 1 10 5 6902 0 3 50 10-13-6-5-
1 1 7 13 438 0 3 50 7-5-6-13-
1 1 10 1 6901 0 3 50 10-11-3-1-
1 1 6 1 2491 0 2 50 6-4-1-
1 1 5 2 8106 0 3 50 5-7-8-2-
1 1 6 10 5692 0 2 50 6-13-10-
1 1 9 7 5273 0 2 50 9-8-7-
1 1 14 9 147 0 1 50 14-9-
0 1 3 11 8299 -1 -1 50 14-9-
1 1 11 4 6921 0 3 50 11-3-1-4-
0 1 13 14 8534 -1 -1 50 11-3-1-4-
1 1 9 1 2778 0 3 50 9-8-2-1-
1 1 10 3 7613 0 2 50 10-11-3-
1 1 14 12 5169 0 2 50 14-9-12-
1 1 11 6 186 0 3 50 11-12-13-6-
1 1 12 6 3829 0 2 50 12-13-6-
1 1 7 1 6994 0 3 50 7-5-3-1-
1 1 5 7 687 0 1 50 5-7-
1 1 4 2 7765 0 1 50 4-2-
1 1 9 4 6065 0 3 50 9-14-6-4-
